model_id,analysis_role,condition_id,seed,candidate_representation,delta_log_loss,delta_brier_score,log_loss_sign,brier_score_sign,log_loss_sign_reversal_vs_baseline,brier_score_sign_reversal_vs_baseline,log_loss_rank_order,brier_score_rank_order,log_loss_rank_reversal_vs_baseline,brier_score_rank_reversal_vs_baseline
empirical_history_secondary,secondary,noise_g00_s00,20260829,structural_split2,0.009744100550838741,0.004295155688635199,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
bkt_mean_full_credit_secondary,secondary,noise_g00_s00,20260829,coarse_linguistic_families,0.09799584602386391,0.030107223356540924,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g00_s00,20260829,structural_split2,-0.02623867933512114,-0.007069377146948219,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g00_s00,20260830,coarse_linguistic_families,0.016099155789931263,0.007628914299723788,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g00_s00,20260830,structural_split2,0.005698656715236505,0.0027246167145057454,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g00_s00,20260830,coarse_linguistic_families,0.012475507743204606,0.0063403793097772665,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
empirical_history_secondary,secondary,noise_g00_s00,20260830,structural_split2,0.009162716887031297,0.004057055957784689,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
bkt_mean_full_credit_secondary,secondary,noise_g00_s00,20260830,coarse_linguistic_families,0.0935607630378602,0.028621387437045898,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g00_s00,20260830,structural_split2,-0.02731822954346297,-0.007770661348774965,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g00_s00,20260831,coarse_linguistic_families,0.016031677611880957,0.007636278991593942,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g00_s00,20260831,structural_split2,0.005572920702646589,0.0027033170493858394,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
