stage,cohorts_included,generation_attempts,structurally_valid_attempts,candidate_payloads,terminal_judgments,validator_accepted,acceptance_per_candidate,validator_covered_cells,coverage_rate,would_select_items,would_select_cells
default_prefix_n1,"[""default_n3""]",24,24,24,24,16,0.6666666666666666,16,0.6666666666666666,16,16
default_prefix_n2,"[""default_n3""]",48,48,48,48,33,0.6875,19,0.7916666666666666,33,19
default_prefix_n3,"[""default_n3""]",72,71,71,71,51,0.7183098591549296,22,0.9166666666666666,41,22
rescue_only,"[""conditional_rescue""]",4,4,4,4,1,0.25,1,0.041666666666666664,1,1
cumulative_through_rescue,"[""conditional_rescue"", ""default_n3""]",76,75,75,75,52,0.6933333333333334,23,0.9583333333333334,42,23
intervention_only,"[""determinacy_intervention""]",2,2,2,2,2,1.0,1,0.041666666666666664,2,1
final_cumulative,"[""conditional_rescue"", ""default_n3"", ""determinacy_intervention""]",78,77,77,77,54,0.7012987012987013,24,1.0,44,24
